FeatureID,RequirementID,API_ID,EntityID,Role,MVP,Priority,BuildOrder,Dependency,Security
FEA-001,REQ-001,"API-001,API-002","ENT-002,ENT-003",Guest→Member,Y,높음,1,-,최고
FEA-002,REQ-003,API-004,ENT-003,Member,Y,높음,6,FEA-003,보통
FEA-003,REQ-004,API-003,ENT-004,All,Y,높음,5,-,보통
FEA-004,REQ-005,"API-005,API-006",ENT-005,Member,Y,높음,7,FEA-003,보통
FEA-005,REQ-006,API-007,ENT-006,Member,Y,높음,8,FEA-004,높음
FEA-006,REQ-007,API-007,ENT-010,Member/Staff,Y,높음,9,FEA-005,최고
FEA-007,REQ-008,API-008,ENT-007,Member,Y,중간,10,FEA-006,보통
FEA-008,REQ-009,API-009,ENT-004,Owner,Y,높음,4,FEA-001,높음
FEA-009,REQ-010,API-009,ENT-008,Owner,Y,높음,3,FEA-008,높음
FEA-010,REQ-009,API-010,ENT-001,Admin,Y,최고,2,FEA-001,최고
